rank	Ensembl	symbol	log2FoldChange	mean_TB	mean_Healthy	pvalue	padj	direction
1	ENSG00000163754	GYG1	0.6390506742981921	3.5882491836060466	2.9491985093078545	8.870482958641353e-27	1.656651397355859e-22	Higher in TB
2	ENSG00000108950	FAM20A	0.8605043902227263	2.183043178753871	1.3225387885311446	4.647094117182413e-26	4.339456486624937e-22	Higher in TB
3	ENSG00000119686	FLVCR2	0.5324671019092948	2.4883086584177083	1.9558415565084135	1.6550918519919482e-23	1.0303498475933875e-19	Higher in TB
4	ENSG00000108861	DUSP3	0.7496702180179562	3.479530725428299	2.729860507410343	2.93828061382934e-22	1.3718832185969189e-18	Higher in TB
5	ENSG00000173369	C1QB	0.9093566688584929	2.591243444728738	1.681886775870245	1.0790612840052815e-21	3.991591415042562e-18	Higher in TB
6	ENSG00000173372	C1QA	0.8494872098836925	2.67190932213876	1.8224221122550675	1.626099850332955e-20	4.3384344006883244e-17	Higher in TB
7	ENSG00000082014	SMARCD3	0.8599537310652181	3.5036150325973026	2.6436613015320845	2.458648619732379e-20	5.739715202765239e-17	Higher in TB
8	ENSG00000166278	C2	0.5951493041478937	2.305045151336349	1.7098958471884553	5.077725709200352e-18	6.7736860960732695e-15	Higher in TB
9	ENSG00000152518	ZFP36L2	-0.5577962678873183	4.630966270814361	5.188762538701679	2.5471523999502422e-17	3.1713745480980484e-14	Lower in TB
10	ENSG00000136861	CDK5RAP2	0.5704388508085256	3.1937333794134637	2.623294528604938	5.732364799778752e-17	5.097983095269904e-14	Higher in TB
11	ENSG00000159189	C1QC	0.7371578892770989	2.1150309279315005	1.3778730386544016	7.039832254429485e-17	5.97617759926023e-14	Higher in TB
12	ENSG00000183019	MCEMP1	0.7700552698807854	2.9371028528375906	2.167047582956805	1.0781739105483162e-16	8.754772153652328e-14	Higher in TB
13	ENSG00000091106	NLRC4	0.5181652188183028	3.100373133756714	2.582207914938411	1.263412970952864e-16	9.499006610382685e-14	Higher in TB
14	ENSG00000112053	SLC26A8	0.5833831549899586	2.416445905384623	1.8330627503946642	2.970736496355649e-16	1.9814812430692177e-13	Higher in TB
15	ENSG00000198216	CACNA1E	0.5453092265340902	2.424947363259783	1.879638136725693	3.159790813605706e-16	2.0349052839620748e-13	Higher in TB
16	ENSG00000127528	KLF2	-0.5914126346304807	5.222746334924243	5.8141589695547236	8.56643760029394e-16	4.2101786479760425e-13	Lower in TB
17	ENSG00000197646	PDCD1LG2	0.5734456807003401	1.9728381571012008	1.3993924764008607	1.8931198859260836e-15	8.838976747388884e-13	Higher in TB
18	ENSG00000277734	TRAC	-0.8159989920068158	4.489114040901389	5.305113032908205	2.5993259835586946e-15	1.1077962143460305e-12	Lower in TB
19	ENSG00000184678	H2BC21	0.5568477583285825	3.3351106431728716	2.778262884844289	4.776719019266199e-15	1.8980852000811813e-12	Higher in TB
20	ENSG00000170439	TMT1B	0.7043999746496686	1.5796384974907245	0.8752385228410559	9.815436786672962e-15	3.273448168355433e-12	Higher in TB
21	ENSG00000180096	SEPTIN1	-0.520278124447183	3.6462579486213547	4.166536073068538	1.0226103316350474e-14	3.292805267864853e-12	Lower in TB
22	ENSG00000108387	SEPTIN4	0.7992340252769186	2.467902792020617	1.6686687667436986	2.056992128902232e-14	5.705461570711873e-12	Higher in TB
23	ENSG00000196405	EVL	-0.6713055363398537	4.637169473652432	5.308475009992286	3.083528279059137e-14	7.478957680481616e-12	Lower in TB
24	ENSG00000197903	H2BC12	0.5829825819922942	2.939869352155932	2.3568867701636376	3.5768354996861376e-14	8.45582022685295e-12	Higher in TB
25	ENSG00000105640	RPL18A	-0.5200653323641546	5.902256450048948	6.4223217824131025	4.6763533796477435e-14	1.0782169841765588e-11	Lower in TB
26	ENSG00000110080	ST3GAL4	0.5293717456664266	3.1819166556029796	2.652544909936553	4.892310224717112e-14	1.1142534848392291e-11	Higher in TB
27	ENSG00000183621	ZNF438	0.5345203211999636	2.8524445812246815	2.317924260024718	5.3317209346445304e-14	1.185419287802634e-11	Higher in TB
28	ENSG00000073849	ST6GAL1	-0.5792716341313744	3.7212868131118464	4.300558447243221	5.745870114170994e-14	1.2624690617912645e-11	Lower in TB
29	ENSG00000257017	HP	0.7131193218961627	2.492785262503603	1.7796659406074402	6.889967590188683e-14	1.445809378813077e-11	Higher in TB
30	ENSG00000106683	LIMK1	0.5611875920038165	3.695744852801552	3.1345572607977354	1.9053503960383746e-13	3.337383058294918e-11	Higher in TB
