GO_ID	term	topGO_pvalue	topGO_significant	Wilcoxon_pvalue	Wilcoxon_significant	n_methods_included	n_methods_significant	median_pvalue
GO:0042742	defense response to bacterium	4.413669360795004e-14	True	0.0	True	2	2	2.206834680397502e-14
GO:0050830	defense response to Gram-positive bacterium	2.073132799733863e-11	True	1.83120185681673e-13	True	2	2	1.0457224091510151e-11
GO:0050832	defense response to fungus	1.97902887960095e-07	True	1.42948887231385e-07	True	2	2	1.7042588759574e-07
GO:0050729	positive regulation of inflammatory response	9.63674778918622e-10	True	5.05043401269437e-07	True	2	2	2.530035380241778e-07
GO:0002221	pattern recognition receptor signaling pathway	6.498996184228676e-09	True	9.39042613254213e-07	True	2	2	4.7277080471922083e-07
GO:0019731	antibacterial humoral response	2.282528013773894e-06	True	3.7731797686959e-07	True	2	2	1.329922995321742e-06
GO:0002227	innate immune response in mucosa	1.916523214953604e-06	True	1.6094876467315e-06	True	2	2	1.763005430842552e-06
GO:0071222	cellular response to lipopolysaccharide	6.277697527784129e-06	True	8.28388078999973e-10	True	2	2	3.1392629579315647e-06
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	2.3267028454894083e-08	True	9.79258469323053e-06	True	2	2	4.9079258608427125e-06
GO:0050829	defense response to Gram-negative bacterium	1.887807207858292e-05	True	5.19982376674213e-05	True	2	2	3.543815487300211e-05
GO:0045071	negative regulation of viral genome replication	8.443968165498346e-07	True	0.0002926682764661	True	2	2	0.00014675633664132493
GO:0032731	positive regulation of interleukin-1 beta production	0.00034776740882831194	True	2.47391163787059e-07	True	2	2	0.0001740073999960495
GO:0031640	killing of cells of another organism	1.1480937061302518e-10	True	0.0005665415950356	True	2	2	0.0002832708549224853
GO:0070269	pyroptotic inflammatory response	1.936541243662084e-08	True	0.0009200858421576	True	2	2	0.0004600526037850183
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	0.0002941432086282405	True	0.000948173513725	True	2	2	0.0006211583611766202
GO:0006953	acute-phase response	8.541069568890241e-05	True	0.0014158045511698	True	2	2	0.0007506076234293513
GO:0032760	positive regulation of tumor necrosis factor production	0.0016782256176143	True	5.1988692715911295e-11	True	2	2	0.0008391128348014963
GO:0032691	negative regulation of interleukin-1 beta production	0.0009466627048760144	True	0.0009200858421576	True	2	2	0.0009333742735168071
GO:0034341	response to type II interferon	0.0029200977405089	True	1.35225130183328e-08	True	2	2	0.001460055631510959
GO:0016045	detection of bacterium	0.0015891132911072	True	0.00260621280918	True	2	2	0.0020976630501436
GO:0045824	negative regulation of innate immune response	0.0054352091785297	True	0.0002460773396876	True	2	2	0.00284064325910865
GO:0032729	positive regulation of type II interferon production	0.0070445729639732	True	8.30127398928979e-05	True	2	2	0.003563792851933049
GO:0042832	defense response to protozoan	0.00010027310695690512	True	0.0072489737083176	True	2	2	0.003674623407637252
GO:0071346	cellular response to type II interferon	0.0006191860936575697	True	0.0072489737083176	True	2	2	0.003934079900987585
GO:0048525	negative regulation of viral process	0.0054499383266737	True	0.0042470378399098	True	2	2	0.00484848808329175
GO:0031342	negative regulation of cell killing	0.0008696538116961933	True	0.0090210345922816	True	2	2	0.004945344201988896
GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	0.0097532349402663	True	0.0007190573319197	True	2	2	0.005236146136093
GO:0046456	icosanoid biosynthetic process	9.49280034772464e-05	True	0.0113626034084103	True	2	2	0.0057287657059437724
GO:0045671	negative regulation of osteoclast differentiation	0.0053136565303438	True	0.0065569337918627	True	2	2	0.00593529516110325
GO:0006958	complement activation, classical pathway	1.019253749456264e-05	True	0.0121584394877455	True	2	2	0.006084316012620031
GO:0002283	neutrophil activation involved in immune response	0.0015891132911072	True	0.0105967191864805	True	2	2	0.0060929162387938504
GO:0045916	negative regulation of complement activation	0.0012645610991072	True	0.0109392297245765	True	2	2	0.00610189541184185
GO:0035456	response to interferon-beta	2.737341847476858e-06	True	0.0147754099041341	True	2	2	0.007389073622990789
GO:0071639	positive regulation of monocyte chemotactic protein-1 production	0.0005512436381571543	True	0.0180994917981476	True	2	2	0.009325367718152377
GO:0002281	macrophage activation involved in immune response	0.0023834980189812	True	0.0169596981145943	True	2	2	0.00967159806678775
GO:0060337	type I interferon-mediated signaling pathway	4.463046549532149e-05	True	0.0197505334344404	True	2	2	0.009897581949967862
GO:0050853	B cell receptor signaling pathway	0.00017146865333076723	True	0.0225137860483617	True	2	2	0.011342627350846235
GO:0071347	cellular response to interleukin-1	0.0061750990300752	True	0.0224146463540711	True	2	2	0.014294872692073149
GO:0043368	positive T cell selection	0.00016592633211473786	True	0.0382696910477542	True	2	2	0.019217808689934467
GO:0032682	negative regulation of chemokine production	0.0046124775073073	True	0.0364376831347761	True	2	2	0.020525080321041698
GO:0043374	CD8-positive, alpha-beta T cell differentiation	0.0077860665741805	True	0.0365264945510465	True	2	2	0.0221562805626135
GO:0045087	innate immune response	2.7990163205158063e-14	True	0.0	False	2	1	1.3995081602579032e-14
GO:0006955	immune response	6.684380955113724e-07	True	0.0001802767296251	False	2	1	9.047258386030568e-05
GO:0050852	T cell receptor signaling pathway	6.295517538076233e-07	True	0.0022413618714983	False	2	1	0.001120995711626054
GO:0051607	defense response to virus	7.142105017217893e-09	True	0.002301175180226	False	2	1	0.0011505911611655085
GO:0071345	cellular response to cytokine stimulus	0.0097977456364051	True	6.62580174943801e-07	False	2	1	0.004899204108290022
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0099394791759959	True	0.0015822438920804	False	2	1	0.00576086153403815
GO:0072524	pyridine-containing compound metabolic process	0.0119281811619423	False	0.0001515900518655	True	2	1	0.0060398856069039
GO:0030183	B cell differentiation	0.0104900197938203	False	0.0028959065511901	True	2	1	0.006692963172505199
GO:0032757	positive regulation of interleukin-8 production	0.0146646527067538	False	1.17155891553026e-06	True	2	1	0.007332912132834665
GO:0030168	platelet activation	0.0017820551384342	True	0.0202190708457221	False	2	1	0.011000562992078149
GO:0030217	T cell differentiation	0.0048608876855774	True	0.0180994917981476	False	2	1	0.0114801897418625
GO:0034145	positive regulation of toll-like receptor 4 signaling pathway	0.0233963399264325	False	0.0015196473708996	True	2	1	0.012457993648666048
GO:0140367	antibacterial innate immune response	0.0233963399264325	False	0.0016013697133353	True	2	1	0.012498854819883899
GO:0001774	microglial cell activation	0.0253989804555306	False	0.0003143866437271	True	2	1	0.01285668354962885
GO:0045063	T-helper 1 cell differentiation	0.0219346036588267	False	0.0069618227081246	True	2	1	0.01444821318347565
GO:0002762	negative regulation of myeloid leukocyte differentiation	0.0198413324322128	False	0.0101790894433085	True	2	1	0.01501021093776065
GO:0042117	monocyte activation	0.0146270426036104	False	0.0168931614609962	True	2	1	0.0157601020323033
GO:0002523	leukocyte migration involved in inflammatory response	0.0233963399264325	False	0.0092977846542528	True	2	1	0.016347062290342648
GO:0002251	organ or tissue specific immune response	0.0331509996375339	False	0.0001945383465408	True	2	1	0.01667276899203735
GO:0035019	somatic stem cell population maintenance	0.0202810218356717	False	0.0131834836801288	True	2	1	0.01673225275790025
GO:0002718	regulation of cytokine production involved in immune response	0.0335718191022322	False	0.0019920742569555	True	2	1	0.01778194667959385
GO:0002544	chronic inflammatory response	0.0121036462715154	False	0.0284730862673344	True	2	1	0.0202883662694249
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.00014745354916060642	True	0.0492119565556531	False	2	1	0.024679705052406853
GO:0002922	positive regulation of humoral immune response	0.0121036462715154	False	0.0452541585636975	True	2	1	0.02867890241760645
GO:0042100	B cell proliferation	0.0286815519630206	False	0.0287779732755966	True	2	1	0.0287297626193086
GO:0045766	positive regulation of angiogenesis	0.006626060872237	True	0.0521221869663204	False	2	1	0.0293741239192787
GO:0120162	positive regulation of cold-induced thermogenesis	0.0489824130433395	False	0.0127407452386014	True	2	1	0.03086157914097045
GO:0032661	regulation of interleukin-18 production	0.0146270426036104	False	0.0489174440810133	True	2	1	0.03177224334231185
GO:0051642	centrosome localization	0.0499234367176614	False	0.0143014828788647	True	2	1	0.03211245979826305
GO:0002752	cell surface pattern recognition receptor signaling pathway	0.0661973070038314	False	6.98934712203569e-05	True	2	1	0.03313360023752588
GO:0072376	protein activation cascade	0.0505619837145395	False	0.0166230234822417	True	2	1	0.0335925035983906
GO:0006959	humoral immune response	0.0672255032504936	False	4.81200417268464e-06	True	2	1	0.03361515762733314
GO:0006720	isoprenoid metabolic process	0.0671253638663906	False	0.0007023451275827	True	2	1	0.03391385449698665
GO:0010543	regulation of platelet activation	0.0666795841510575	False	0.00260621280918	True	2	1	0.03464289848011875
GO:0030194	positive regulation of blood coagulation	0.0499234367176614	False	0.0209388456267477	True	2	1	0.03543114117220455
GO:1900015	regulation of cytokine production involved in inflammatory response	0.0664361911504884	False	0.0080913310645564	True	2	1	0.0372637611075224
GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway	0.0456748862236311	False	0.0316642257484674	True	2	1	0.03866955598604925
GO:0032922	circadian regulation of gene expression	0.0747371191420712	False	0.0060010798061605	True	2	1	0.040369099474115856
GO:0038094	Fc-gamma receptor signaling pathway	9.93517734844517e-06	True	0.0808061832001639	False	2	1	0.040408059188756174
GO:0032689	negative regulation of type II interferon production	0.0016444748852514	True	0.0793980844713358	False	2	1	0.040521279678293595
GO:0032692	negative regulation of interleukin-1 production	0.0818554839556845	False	3.62470841091897e-05	True	2	1	0.040945865519896846
GO:0071356	cellular response to tumor necrosis factor	0.0035225308265017	True	0.0835474424534518	False	2	1	0.04353498663997675
GO:0002446	neutrophil mediated immunity	0.0883410718048366	False	0.0026989106495485	True	2	1	0.045519991227192545
GO:0046629	gamma-delta T cell activation	1.0285633171390148e-05	True	0.0947171540907191	False	2	1	0.04736371986194524
GO:0045582	positive regulation of T cell differentiation	0.004639628798282	True	0.0911449611545048	False	2	1	0.0478922949763934
GO:0032680	regulation of tumor necrosis factor production	0.0965592888917095	False	1.2771459103952599e-12	True	2	1	0.048279644446493325
GO:0030316	osteoclast differentiation	0.0058478369715544	True	0.0918571538159013	False	2	1	0.04885249539372785
GO:0032693	negative regulation of interleukin-10 production	0.0028577834146773	True	0.102920008516273	False	2	1	0.05288889596547515
GO:0009617	response to bacterium	0.1072216602440498	False	0.0	True	2	1	0.0536108301220249
GO:0030212	hyaluronan metabolic process	0.0682219204486137	False	0.0407946870029207	True	2	1	0.0545083037257672
GO:0002526	acute inflammatory response	0.1105688878954279	False	1.95887735216615e-05	True	2	1	0.055294238334474784
GO:0030449	regulation of complement activation	0.0977322759977503	False	0.0135785721045992	True	2	1	0.055655424051174754
GO:0045862	positive regulation of proteolysis	0.0867137425373951	False	0.0316291060124733	True	2	1	0.0591714242749342
GO:0046597	host-mediated suppression of symbiont invasion	0.00338617083232	True	0.117856966630334	False	2	1	0.060621568731327
