Ensembl	symbol	mean_TB	mean_Healthy	log2FoldChange	t_statistic	pvalue	padj	direction
ENSG00000163754	GYG1	3.5882491836060466	2.9491985093078545	0.6390506742981921	14.567089335827108	8.870482958641353e-27	1.656651397355859e-22	Higher in TB
ENSG00000108950	FAM20A	2.183043178753871	1.3225387885311446	0.8605043902227263	15.083327217494856	4.647094117182413e-26	4.339456486624937e-22	Higher in TB
ENSG00000119686	FLVCR2	2.4883086584177083	1.9558415565084133	0.5324671019092948	13.97877986670538	1.6550918519919482e-23	1.0303498475933876e-19	Higher in TB
ENSG00000108861	DUSP3	3.479530725428299	2.729860507410343	0.7496702180179562	15.288044760258751	2.9382806138293397e-22	1.3718832185969189e-18	Higher in TB
ENSG00000173369	C1QB	2.591243444728738	1.681886775870245	0.9093566688584928	11.998409799209815	1.0790612840052817e-21	3.9915914150425624e-18	Higher in TB
ENSG00000173372	C1QA	2.67190932213876	1.8224221122550677	0.8494872098836925	11.580330852498111	1.626099850332955e-20	4.338434400688325e-17	Higher in TB
ENSG00000082014	SMARCD3	3.5036150325973026	2.6436613015320845	0.8599537310652181	14.728294215014682	2.458648619732379e-20	5.739715202765239e-17	Higher in TB
ENSG00000166278	C2	2.305045151336349	1.709895847188455	0.5951493041478937	10.900836847201385	5.0777257092003525e-18	6.7736860960732695e-15	Higher in TB
ENSG00000152518	ZFP36L2	4.630966270814361	5.188762538701679	-0.5577962678873183	-11.735868413649015	2.5471523999502425e-17	3.1713745480980484e-14	Lower in TB
ENSG00000136861	CDK5RAP2	3.193733379413464	2.623294528604938	0.5704388508085256	9.943699142902297	5.732364799778752e-17	5.097983095269904e-14	Higher in TB
ENSG00000159189	C1QC	2.1150309279315005	1.3778730386544016	0.7371578892770989	10.460658265711226	7.039832254429485e-17	5.97617759926023e-14	Higher in TB
ENSG00000183019	MCEMP1	2.93710285283759	2.167047582956805	0.7700552698807854	10.217097300227454	1.0781739105483162e-16	8.754772153652329e-14	Higher in TB
ENSG00000091106	NLRC4	3.100373133756714	2.582207914938411	0.5181652188183028	11.57116188594285	1.263412970952864e-16	9.499006610382685e-14	Higher in TB
ENSG00000112053	SLC26A8	2.416445905384623	1.833062750394664	0.5833831549899586	11.381237547423288	2.970736496355649e-16	1.9814812430692177e-13	Higher in TB
ENSG00000198216	CACNA1E	2.424947363259783	1.879638136725693	0.5453092265340902	11.626079049276234	3.159790813605706e-16	2.034905283962075e-13	Higher in TB
ENSG00000127528	KLF2	5.222746334924243	5.814158969554724	-0.5914126346304807	-12.78956163680009	8.56643760029394e-16	4.210178647976043e-13	Lower in TB
ENSG00000197646	PDCD1LG2	1.9728381571012008	1.3993924764008607	0.5734456807003401	10.4634820584917	1.893119885926084e-15	8.838976747388885e-13	Higher in TB
ENSG00000277734	TRAC	4.489114040901389	5.305113032908205	-0.8159989920068158	-11.165264678583371	2.5993259835586946e-15	1.1077962143460305e-12	Lower in TB
ENSG00000184678	H2BC21	3.335110643172872	2.778262884844289	0.5568477583285825	10.157725347267425	4.776719019266199e-15	1.8980852000811813e-12	Higher in TB
ENSG00000170439	TMT1B	1.5796384974907245	0.8752385228410559	0.7043999746496686	11.375076987269647	9.815436786672962e-15	3.273448168355433e-12	Higher in TB
ENSG00000180096	SEPTIN1	3.646257948621354	4.166536073068538	-0.520278124447183	-10.433264775201232	1.0226103316350474e-14	3.292805267864853e-12	Lower in TB
ENSG00000108387	SEPTIN4	2.467902792020617	1.6686687667436986	0.7992340252769186	9.6429103395175	2.056992128902232e-14	5.7054615707118726e-12	Higher in TB
ENSG00000196405	EVL	4.637169473652432	5.308475009992286	-0.6713055363398537	-10.519988957466506	3.083528279059137e-14	7.478957680481616e-12	Lower in TB
ENSG00000197903	H2BC12	2.939869352155932	2.3568867701636376	0.5829825819922942	10.220128324380529	3.5768354996861376e-14	8.45582022685295e-12	Higher in TB
ENSG00000105640	RPL18A	5.902256450048948	6.422321782413103	-0.5200653323641546	-9.986371119915416	4.676353379647744e-14	1.0782169841765588e-11	Lower in TB
ENSG00000110080	ST3GAL4	3.18191665560298	2.652544909936553	0.5293717456664266	10.05959870036046	4.892310224717112e-14	1.1142534848392291e-11	Higher in TB
ENSG00000183621	ZNF438	2.852444581224681	2.317924260024718	0.5345203211999636	10.99860291871391	5.33172093464453e-14	1.185419287802634e-11	Higher in TB
ENSG00000073849	ST6GAL1	3.7212868131118464	4.300558447243221	-0.5792716341313744	-11.276955458636856	5.745870114170994e-14	1.2624690617912644e-11	Lower in TB
ENSG00000257017	HP	2.492785262503603	1.7796659406074402	0.7131193218961627	9.221922760081744	6.889967590188684e-14	1.445809378813077e-11	Higher in TB
ENSG00000106683	LIMK1	3.695744852801552	3.1345572607977354	0.5611875920038165	10.413451570917108	1.9053503960383746e-13	3.3373830582949176e-11	Higher in TB
ENSG00000161405	IKZF3	3.31479341765177	3.9721287187978014	-0.6573353011460314	-11.104093138170247	4.905994092614912e-13	7.635362139473006e-11	Lower in TB
ENSG00000170525	PFKFB3	3.661342021645566	3.0985415665785587	0.5628004550670074	9.007124305976445	6.660008997934884e-13	9.717369378549366e-11	Higher in TB
ENSG00000211751	TRBC1	4.180312670290671	4.820197993779906	-0.639885323489235	-9.663625092141002	6.866324434102193e-13	9.940734506301746e-11	Lower in TB
ENSG00000112062	MAPK14	4.684425811436993	4.056059549226943	0.6283662622100499	9.74526761610598	7.307452891205745e-13	1.0360130829551075e-10	Higher in TB
ENSG00000163568	AIM2	2.513646658936699	1.9172532943312623	0.5963933646054367	9.741330978414316	7.937344526189142e-13	1.0980581212674695e-10	Higher in TB
ENSG00000161944	ASGR2	2.6531707858616773	2.138548239803328	0.5146225460583493	9.52409236768946	8.541362584219472e-13	1.1559310697310351e-10	Higher in TB
ENSG00000187554	TLR5	3.1037422889756567	2.4096083609006307	0.694133928075026	10.334054143690704	8.617293048719587e-13	1.1578170142294027e-10	Higher in TB
ENSG00000213626	LBH	3.865402141675178	4.622125431067673	-0.7567232893924944	-10.278763298420545	1.3568618155688948e-12	1.6348871785525595e-10	Lower in TB
ENSG00000167895	TMC8	4.365829033591753	4.898847346226788	-0.5330183126350345	-9.835587494797132	1.729474744106525e-12	1.945763272345389e-10	Lower in TB
ENSG00000137767	SQOR	4.25477463879926	3.686264337113165	0.5685103016860951	10.95709504968247	1.8960389249421978e-12	2.0829660566012052e-10	Higher in TB
ENSG00000162894	FCMR	3.944904442508622	4.748013909965869	-0.8031094674572472	-9.940484512550585	1.993732070990452e-12	2.1398005490185368e-10	Lower in TB
ENSG00000100242	SUN2	5.251225041947079	5.7539060445145	-0.5026810025674209	-9.973831783227132	2.2733205811740084e-12	2.354634272906815e-10	Lower in TB
ENSG00000158869	FCER1G	5.315530985171943	4.536816914363236	0.7787140708087072	10.435376912914508	2.3898868129226083e-12	2.4389904982591603e-10	Higher in TB
ENSG00000127152	BCL11B	2.8352945659668256	3.3767317933744065	-0.5414372274075809	-10.471721077105697	3.173529716545437e-12	3.1194126834843463e-10	Lower in TB
ENSG00000115607	IL18RAP	3.58749839089442	2.861407901180828	0.7260904897135925	8.656259783271915	3.2358471860780977e-12	3.163308876993733e-10	Higher in TB
ENSG00000113368	LMNB1	3.699439652017748	2.986671871978149	0.7127677800395982	9.721659595459233	3.6050460431563467e-12	3.435093872550405e-10	Higher in TB
ENSG00000075399	VPS9D1	3.706901066886396	3.012038861638396	0.6948622052480005	10.197878902133134	3.653055065341921e-12	3.4629887265535246e-10	Higher in TB
ENSG00000168899	VAMP5	3.101779830242134	2.3555435481673745	0.7462362820747597	9.231081529143902	4.357862100451767e-12	3.989580028825353e-10	Higher in TB
ENSG00000170989	S1PR1	3.1682448748673737	3.8024243224639824	-0.6341794475966087	-10.53175623319404	4.502534553735404e-12	4.0820065692020577e-10	Lower in TB
ENSG00000104964	TLE5	5.150496824073649	5.688455554708399	-0.5379587306347497	-9.208941276180605	4.608197965939178e-12	4.137630058263465e-10	Lower in TB
ENSG00000182866	LCK	4.058806975320639	4.632710209742402	-0.5739032344217634	-9.377209158219555	4.785874441788213e-12	4.2160844846621067e-10	Lower in TB
ENSG00000099991	CABIN1	3.835351567681846	4.337657498613864	-0.5023059309320179	-9.139899156720237	6.268498187704925e-12	5.143731545578572e-10	Lower in TB
ENSG00000211772	TRBC2	4.631619503299977	5.343328913763653	-0.7117094104636754	-9.21671538555253	8.334206840318835e-12	6.48540195624144e-10	Lower in TB
ENSG00000143515	ATP8B2	3.2847391874941456	3.816640858595639	-0.531901671101493	-9.74897456322508	8.947582314282721e-12	6.820614175573229e-10	Lower in TB
