GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0045087	innate immune response	847	70	14.57	4.80439258750858	2.799016320515806e-14	7.674394156016808e-30	3.0138442192700295e-27	TRUE	65	5	C1QB;C1QA;C2;C1QC;NLRC4;H2BC21;H2BC12;AIM2;TLR5;FCER1G;TIFA;FCGR1A;SERPING1;VNN1;CD274;MARCO;GBP5;PLSCR1;PGLYRP1;GBP1;TREML1;IFITM1;CASP1;CLU;CR1;PSMB9;CEACAM1;CASP4;GBP2;CALHM6;TRIM21;MSRB1;APOL1;LCN2;UBE2L6;PSME2;CD177;IFITM3;FFAR2;LILRA5;S100A12;PARP9;CLEC4E;GBP4;STAT1;TRIM22;NAIP;DEFA1;LTF;IRF7;IFI35;IFIT3;PML;OAS1;S100A8;PARP14;RSAD2;IFI6;LY6E;OAS3;DEFA1;OASL;IFIT2;ISG15;DEFA3	CD6;NOP53;CD2;IGHM;OGT
GO:0042742	defense response to bacterium	190	32	3.27	9.785932721712538	4.413669360795004e-14	7.279623755009958e-23	2.1064932318444602e-20	TRUE	29	3	NLRC4;H2BC21;H2BC12;HP;IL18RAP;ADM;GBP5;PGLYRP1;GBP1;CASP1;IL1B;CASP4;GBP2;ANXA3;APOL1;LCN2;PPBP;S100A12;GBP4;NAIP;DEFA1;LTF;STAB1;OAS1;S100A8;OAS3;DEFA1;ISG15;DEFA3	IL7R;IGHM;GNLY
GO:0050830	defense response to Gram-positive bacterium	60	13	1.03	12.62135922330097	2.073132799733863e-11	2.073132799733863e-11	1.8685383824486524e-9	TRUE	12	1	H2BC21;H2BC12;IL18RAP;ADM;PGLYRP1;IL1B;CASP4;GBP2;GBP4;DEFA1;DEFA1;DEFA3	IL7R
GO:0031640	killing of cells of another organism	55	12	0.95	12.631578947368421	1.1480937061302518e-10	1.1480937061302518e-10	9.282675288682537e-9	TRUE	11	1	H2BC12;GBP5;PGLYRP1;GBP1;GBP2;PPBP;S100A12;DEFA1;LTF;DEFA1;DEFA3	GNLY
GO:0046631	alpha-beta T cell activation	168	19	2.89	6.5743944636678195	1.2625411959888748e-10	7.989171542788455e-11	6.972137324166813e-9	TRUE	7	12	IL18RAP;SOCS3;LILRB4;CD274;PSMB9;SEMA4A;RSAD2	TRAC;TRBC1;LCK;TRBC2;CD3G;CD3E;CD247;GPR183;CLEC2D;RORA;ITK;RUNX3
GO:0050729	positive regulation of inflammatory response	124	16	2.13	7.511737089201878	9.63674778918622e-10	3.640625593460194e-10	2.704886420654614e-8	TRUE	15	1	NLRC4;AIM2;CASP5;GBP5;GBP1;CASP1;IL1B;CASP4;GBP2;FFAR2;LILRA5;S100A12;NAIP;IFI35;S100A8	ETS1
GO:0002221	pattern recognition receptor signaling pathway	254	21	4.37	4.805491990846682	6.498996184228676e-9	2.7299439597478547e-9	1.9748989329860136e-7	TRUE	19	2	NLRC4;AIM2;TLR5;TIFA;CD274;GBP5;CASP1;GBP2;FFAR2;CLEC4E;NAIP;LTF;IRF7;IFI35;OAS1;S100A8;RSAD2;OAS3;OASL	NOP53;OGT
GO:0051607	defense response to virus	266	27	4.58	5.895196506550218	7.142105017217893e-9	9.447940865282776e-14	9.61940349580087e-12	TRUE	27	0	AIM2;GBP5;PLSCR1;GBP1;IFITM1;CASP1;IL1B;GBP2;TRIM21;IFITM3;PARP9;STAT1;TRIM22;DEFA1;IRF7;IFIT3;PML;OAS1;IFI44L;RSAD2;IFI6;OAS3;DEFA1;OASL;IFIT2;ISG15;DEFA3	
GO:0070269	pyroptotic inflammatory response	40	9	0.69	13.043478260869566	1.936541243662084e-8	1.936541243662084e-8	1.238035320657458e-6	TRUE	9	0	NLRC4;AIM2;GBP5;GBP1;CASP1;CASP4;GBP2;TRIM21;NAIP	
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	69	11	1.19	9.243697478991598	2.326702845489408e-8	2.326702845489408e-8	1.4536604823296324e-6	TRUE	10	1	H2BC21;H2BC12;ADM;PGLYRP1;PPBP;S100A12;DEFA1;LTF;DEFA1;DEFA3	GNLY
GO:0050832	defense response to fungus	41	8	0.71	11.267605633802818	1.97902887960095e-7	3.971325709513534e-7	1.8822714440435696e-5	TRUE	7	1	S100A12;CLEC4E;DEFA1;LTF;S100A8;DEFA1;DEFA3	GNLY
GO:0050852	T cell receptor signaling pathway	130	18	2.24	8.035714285714285	6.295517538076233e-7	8.260412884156984e-12	7.697584752050017e-10	TRUE	6	12	DUSP3;PDCD1LG2;LILRB4;CD274;GBP1;CEACAM1	TRAC;TRBC1;LCK;TRBC2;ZAP70;CD3G;CD3E;EZR;CD247;CLEC2D;ITK;CD8A
