GO_ID	term	annotated	significant_genes	auc	pvalue_wilcoxon	padj_wilcoxon_BH	direction	significant
GO:0006952	defense response	1413	98	0.581422519656458	0	0	Higher in TB	FALSE
GO:0009605	response to external stimulus	1756	104	0.560836335535846	0	0	Higher in TB	FALSE
GO:0009607	response to biotic stimulus	1248	89	0.57790265664448	0	0	Higher in TB	FALSE
GO:0009617	response to bacterium	438	41	0.623484961150411	0	0	Higher in TB	TRUE
GO:0042742	defense response to bacterium	190	32	0.705247783528929	0	0	Higher in TB	TRUE
GO:0043207	response to external biotic stimulus	1209	89	0.580283756636584	0	0	Higher in TB	FALSE
GO:0044419	biological process involved in interspecies interaction between organisms	1357	90	0.56836216059794	0	0	Higher in TB	FALSE
GO:0045087	innate immune response	847	70	0.59379592154591	0	0	Higher in TB	FALSE
GO:0051707	response to other organism	1208	89	0.579979787069487	0	0	Higher in TB	FALSE
GO:0098542	defense response to other organism	906	74	0.594286759563269	0	0	Higher in TB	FALSE
GO:0140546	defense response to symbiont	894	73	0.592961688377534	0	0	Higher in TB	FALSE
GO:0090304	nucleic acid metabolic process	4096	44	0.400847810972865	5.01125536258651e-84	2.29599016529172e-81	Lower in TB	FALSE
GO:0016070	RNA metabolic process	3588	41	0.397097230251421	4.36905472471297e-82	1.84777406742092e-79	Lower in TB	TRUE
GO:0141187	nucleic acid biosynthetic process	3482	37	0.398575286338806	4.99201183983722e-78	1.96043436395893e-75	Lower in TB	TRUE
GO:0032774	RNA biosynthetic process	3389	37	0.398059008397661	3.29140600504743e-77	1.20641001438338e-74	Lower in TB	TRUE
GO:0034654	nucleobase-containing compound biosynthetic process	3751	39	0.410286820220359	6.39135055711452e-65	2.19622783518848e-62	Lower in TB	FALSE
GO:0006139	nucleobase-containing compound metabolic process	4572	50	0.417428101904165	2.16398801545051e-63	6.99859182879231e-61	Lower in TB	FALSE
GO:0019219	regulation of nucleobase-containing compound metabolic process	3063	39	0.405624585303452	1.8003256473601e-61	5.4989946717699e-59	Lower in TB	FALSE
GO:0051252	regulation of RNA metabolic process	2791	37	0.404056069877919	5.6480244948619e-59	1.63435993014478e-56	Lower in TB	FALSE
GO:0006355	regulation of DNA-templated transcription	2521	34	0.408165197546429	6.41884294844388e-50	1.76453992652722e-47	Lower in TB	FALSE
GO:2001141	regulation of RNA biosynthetic process	2533	34	0.408474163466818	8.6876464394969e-50	2.27450857735019e-47	Lower in TB	FALSE
GO:0010467	gene expression	4963	89	0.429153949684899	1.17822678600689e-49	2.93395764438874e-47	Lower in TB	FALSE
GO:0006351	DNA-templated transcription	2643	34	0.410232829711157	1.22737406003894e-49	2.93395764438874e-47	Lower in TB	FALSE
GO:0009059	macromolecule biosynthetic process	5329	92	0.43095549804929	2.66023297385413e-49	6.09415037093751e-47	Lower in TB	FALSE
GO:0010556	regulation of macromolecule biosynthetic process	3872	77	0.430664208606787	2.13250097576608e-40	4.68979614590477e-38	Lower in TB	FALSE
GO:0043170	macromolecule metabolic process	7032	119	0.442480910742627	9.64321470085479e-40	2.03916901635768e-37	Lower in TB	FALSE
GO:0010468	regulation of gene expression	3772	77	0.431151415720206	4.01867393698926e-39	8.18321085391369e-37	Lower in TB	FALSE
GO:0080090	regulation of primary metabolic process	4064	59	0.433185410384303	6.28126530547834e-39	1.23337130891143e-36	Lower in TB	FALSE
GO:0006357	regulation of transcription by RNA polymerase II	1961	24	0.411396414955527	7.73543141109585e-38	1.4665310999381e-35	Lower in TB	FALSE
GO:0006366	transcription by RNA polymerase II	2078	24	0.415372673238575	2.16832675754983e-36	3.97382017100299e-34	Lower in TB	FALSE
GO:0009889	regulation of biosynthetic process	4010	78	0.435660252750097	6.85749798780133e-36	1.21621044957844e-33	Lower in TB	FALSE
GO:0060255	regulation of macromolecule metabolic process	4488	84	0.43892302224219	4.6447419840837e-35	7.98024732140381e-33	Lower in TB	FALSE
GO:0006396	RNA processing	932	4	0.383828106556965	4.8104224909858e-33	8.01445541073938e-31	Lower in TB	TRUE
GO:0009058	biosynthetic process	6172	100	0.446825026360975	2.40097380139785e-32	3.88251587061335e-30	Lower in TB	FALSE
GO:0044238	primary metabolic process	7722	104	0.45269852308377	2.82705938553575e-28	4.44090642905017e-26	Lower in TB	FALSE
GO:0051253	negative regulation of RNA metabolic process	1149	20	0.404697057475367	2.20790803200305e-27	3.371966211098e-25	Lower in TB	FALSE
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1253	21	0.409467922683774	8.02352968619359e-27	1.19225314093763e-24	Lower in TB	FALSE
GO:0019222	regulation of metabolic process	4875	92	0.448962204522526	2.6384896301831e-26	3.81747789124913e-24	Lower in TB	FALSE
GO:0050794	regulation of cellular process	8444	175	0.45518059651796	4.57426673955164e-26	6.44854321386024e-24	Lower in TB	FALSE
